"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1964564967807697117","Sun Sep 07 05:42:42 +0000 2025","74","Udah di kash clue coba jangan googling sama jangan tanya orang rumah. Siapa dia? #SUPERLIVE #SUPERSOCCER #INIRASANYASUPER https://t.co/rI4WNBgxCk","1964564967807697117","https://pbs.twimg.com/media/G0OJbShW4AALFbG.jpg","","in","","12","102","3","https://x.com/undefined/status/1964564967807697117","27846404",
"1965807778397868364","Wed Sep 10 16:01:11 +0000 2025","367","Jadi hal apa yang membuatmu tetap yakin bakal punya rumah?","1965807778397868364","","","in","","209","127","31","https://x.com/undefined/status/1965807778397868364","197403921",
"1965040385446871261","Mon Sep 08 13:11:51 +0000 2025","1249","Ko gerhana di rumah umi beda ya https://t.co/U0HWJ5HIrT","1965040385446871261","https://pbs.twimg.com/media/G0U50DXXcAA5jzr.jpg","","in","","15","45","156","https://x.com/undefined/status/1965040385446871261","1693407288873414656",
"1965676647085916503","Wed Sep 10 07:20:07 +0000 2025","130"," Ada ga sih yang kalo tinggal di rumah bareng ortu tuh selalu ada aja konfliknya dan ujung2nya kepengen pergi lagi. Kayak lebih nyaman di tempat perantauan gitu loh. Kalo jauh tuh baik² aja tapi kalo barengan ada aja konfliknya meski sepele","1965676647085916503","","","in","","11","51","13","https://x.com/undefined/status/1965676647085916503","1371650588",
"1964104758844629013","Fri Sep 05 23:14:00 +0000 2025","259","Jika sejak awal niat membangun rumah tangga hanya karena gengsi lari dari kesepian atau sekadar karena usia maka hasilnya akan jauh dari sakinah terlebih bersama menuju surga.","1964104758844629013","","","in","","3","0","82","https://x.com/undefined/status/1964104758844629013","974302810694025216",
"1965894493762441585","Wed Sep 10 21:45:46 +0000 2025","38","REKOMENDASI SUGAR WAX waxing di rumah anti ribet nyaman dan praktis! - a thread - https://t.co/YC6NsRewAE","1965894493762441585","https://pbs.twimg.com/media/G0hCnu3aMAgWTUV.jpg","","in","","4","1","30","https://x.com/undefined/status/1965894493762441585","1727581905347043328",
"1965648973131067503","Wed Sep 10 05:30:09 +0000 2025","2936"," guys jaman sekarang masih ada gak ya yang bisa cetak foto dari beginian (maaf lupa namanya)? foto2 kenangan ku pada ilang pas gempa aku mau cetak ulang tapi cuma punya ini nya aja btw aku udah tanya percetakan foto sekitar rumah tapi pada gak bisa https://t.co/r0JXNABFWz","1965648973131067503","https://pbs.twimg.com/media/G0djUuhXcAAxtrG.jpg","","in","","27","76","189","https://x.com/undefined/status/1965648973131067503","1371650588",
"1964288739670110630","Sat Sep 06 11:25:04 +0000 2025","68","Diet! Rekomendasi channel buat strength training pemula di rumah dong bmi aku udh normal tapi lengan sama paha kebanyakan dagingnya huhuhu jadi malu","1964288739670110630","","","in","","0","4","5","https://x.com/undefined/status/1964288739670110630","1277465017009311747",
"1963424285701046732","Thu Sep 04 02:10:03 +0000 2025","30"," kalo aku menghilang dari keluarga besar gapapa ga ya? aku udah ditahap ke pressure bgt kalo ke rumah sodara2 dengan omongan2 ga enaknya","1963424285701046732","","","in","","7","24","6","https://x.com/undefined/status/1963424285701046732","3543491593",
"1963835769803436342","Fri Sep 05 05:25:08 +0000 2025","2678","Guis libur gini kalian pada ngapain? Aku habis bikin pumpkin donut nii hehe mumpung di rumah lagi ada waluhh~ Boleh ambil satu2 yaaaa https://t.co/J4LasEtMOj","1963835769803436342","https://pbs.twimg.com/media/G0DyOW9WoAAVkpz.jpg","","in","","73","178","110","https://x.com/undefined/status/1963835769803436342","619030243",
"1966104472809078920","Thu Sep 11 11:40:09 +0000 2025","61"," kayanya in this economy susah bgt punya rumah kalo emang bukan warisan ya apa emg aku aja yg miskin","1966104472809078920","","","in","","10","34","7","https://x.com/undefined/status/1966104472809078920","1371650588",
"1966148531875389889","Thu Sep 11 14:35:13 +0000 2025","487"," kok sender jadi makin mantep buat nunda nikah in this economy. gak bisa kita pungkiri pondasi rumah tangga adalah uang https://t.co/f11BrsvcD4","1966148531875389889","https://pbs.twimg.com/media/G0kpq1TWYAAAqAq.jpg","","in","","16","37","54","https://x.com/undefined/status/1966148531875389889","1331650559518990336",
"1965726994076741812","Wed Sep 10 10:40:11 +0000 2025","161"," Pengen curhat doang ga mungkin pindah lagi rumah gua yang sekarang aja udah mahal. Pusing wk. https://t.co/1kgGvr54Mh","1965726994076741812","https://pbs.twimg.com/media/G0eqSKaXoAAOpjL.jpg","","in","","5","18","1","https://x.com/undefined/status/1965726994076741812","1331650559518990336",
"1965786357433008287","Wed Sep 10 14:36:04 +0000 2025","76","Dua anggota polis berpangkat Lans Koperal dan Konstabel didenda RM10 400 selepas mengaku bersalah di Mahkamah Tinggi Syariah Perlis hari ini atas empat pertuduhan berkhalwat di sebuah rumah di Arau dan Kangar Jun lalu. berita penuh: https://t.co/MeETeszqg5 https://t.co/FCjwk7n5bl","1965786357433008287","https://pbs.twimg.com/amplify_video_thumb/1965786062502187010/img/xBZ0AWeTYJbaYItQ.jpg","","in","","4","7","16","https://x.com/undefined/status/1965786357433008287","63070483",
"1964695182927974899","Sun Sep 07 14:20:08 +0000 2025","197","Undip! wajar ga kuliah belum ada sebulan tapi sender udah pengin libur semester terus balik ke rumah","1964695182927974899","","","in","","28","39","28","https://x.com/undefined/status/1964695182927974899","1940165092194316288",
"1965933347730788499","Thu Sep 11 00:20:10 +0000 2025","173"," buy or bye? aku di rumah ga pake wifi https://t.co/sRphvPYu7z","1965933347730788499","https://pbs.twimg.com/media/G0hl9cmWAAAI6k2.jpg","","in","","10","124","2","https://x.com/undefined/status/1965933347730788499","1331650559518990336",
"1964938042897998104","Mon Sep 08 06:25:10 +0000 2025","4842"," gua cuma freelancer bahkan dari sebelum menikah. Setelah menikah gua dibilang sama mertua gua tuh di rumah ga ngapa-ngapain. Seolah gua cuma makan duit anaknya doang. Baru aja gua update ini biar mertua liat hhe. https://t.co/cIfs8dYa8m","1964938042897998104","https://pbs.twimg.com/media/G0TcvIFXEAAcw3S.jpg","","in","","24","144","141","https://x.com/undefined/status/1964938042897998104","1331650559518990336",
"1964954111620874339","Mon Sep 08 07:29:01 +0000 2025","21","Min mau cerita saya perempuan (27 Tahun) Intinya orang ini melakukan perekaman video saat saya sedang mandi di rumah keluarga teman saya di daerah Tamanan Banguntapan Bantul. Peristiwa terjadi jam 23:30 WIB tgl 6 Sept 2025 dan Pelaku sudah ditangkap dan diamankan oleh warga https://t.co/NvFD3FU7gP","1964954111620874339","https://pbs.twimg.com/amplify_video_thumb/1964954040749748224/img/HLNM_Cy-YftH3d3p.jpg","","in","","3","5","8","https://x.com/undefined/status/1964954111620874339","1279804428724211712",
"1965979625462575237","Thu Sep 11 03:24:03 +0000 2025","4569","Pengrusakan dan penjarahan di Nepal di rumah para pejabat korup saat aksi demonstrasi https://t.co/eed8RlhMcM","1965979625462575237","https://pbs.twimg.com/ext_tw_video_thumb/1965979531313045504/pu/img/hoBwGnIE3I0Se-4x.jpg","","in","","90","209","910","https://x.com/undefined/status/1965979625462575237","1282751327588585473",
"1963044508427342011","Wed Sep 03 05:08:36 +0000 2025","4020","@tanyakanrl yaudah skrg lu liat bapak gw beli pancingan buat mancing di kolam ikan rumah KOLAM IKAN RUMAH https://t.co/Jf3mLYAule","1963106834157355192","https://pbs.twimg.com/media/Gz5bQXTaAAA6X3x.jpg","tanyakanrl","in","","20","67","140","https://x.com/undefined/status/1963106834157355192","3237830341",
"1965766140749402216","Wed Sep 10 13:15:44 +0000 2025","468","Rumah Presiden Nepal dijarah massa. Sementara disana ada tentara yg berjaga tp terkesan melakukan pembiaran. Setelah Perdana Menteri dan Presiden mundur maka militer pun mengambil alih pemerintahan Nepal. Ketika kekuasaan dipegang militer maka mrk tdk akan melepasnya dgn mudah https://t.co/lPvCOvKlUb","1965766140749402216","https://pbs.twimg.com/ext_tw_video_thumb/1965766079562817536/pu/img/DrSovQitLia0g9P8.jpg","","in","","7","115","493","https://x.com/undefined/status/1965766140749402216","869327120",
"1964503911223505392","Sun Sep 07 01:40:05 +0000 2025","214"," aku sakit kepala karna sering natap layar laptop di kerjaan pas sampe rumah tidur eh malah mimpi lagi kerja ","1964503911223505392","","","in","","29","95","13","https://x.com/undefined/status/1964503911223505392","1331650559518990336",
"1965231207538405803","Tue Sep 09 01:50:06 +0000 2025","47"," sempet mikir ngapain beli rumah wong dikit kali kek mau ancur ni dunia mending fokus ibadah pergi umroh dan jalan jalan. salah ga si?","1965231207538405803","","","in","","4","23","4","https://x.com/undefined/status/1965231207538405803","1371650588",
"1963733831749374358","Thu Sep 04 22:40:04 +0000 2025","462"," teh hijau beneran ajib ya buat nurunin bb aku seminggu dah turun 1 5 kg uy tp jaga makan huhu tp hari ini mau keluar rumah mau gamau cheat day ya","1963733831749374358","","","in","","11","41","10","https://x.com/undefined/status/1963733831749374358","1371650588",
"1964122342436532420","Sat Sep 06 00:23:52 +0000 2025","132","Berkaca di mobil orang begini jadi nya deh gue rasa ini istrinya karena kalau bukan sampai rumah pindah alam https://t.co/T4n2jc9L9f","1964122342436532420","https://pbs.twimg.com/ext_tw_video_thumb/1964122294692773888/pu/img/5SAwiMDksJzhqXxi.jpg","","in","","0","92","40","https://x.com/undefined/status/1964122342436532420","1944316397946806272",
"1964928278768263325","Mon Sep 08 05:46:22 +0000 2025","89","kampung logic: rambut pirang = nakal hp iPhone = gengsi nikah cepat = hamil duluan nikah lama = gak laku post story mulu = alay dirumah terus = gak gaul keluar rumah terus = anak gak bener","1964928278768263325","","","in","","2","0","64","https://x.com/undefined/status/1964928278768263325","1172012865961611269",
"1963224283959722065","Wed Sep 03 12:55:18 +0000 2025","371","🇮🇩 Indonesia bangga menjadi tuan rumah The Asian Cadets &amp; Junior Judo Championships 2025! 11 14 September 2025 Tennis Indoor Senayan Jakarta 30 kategori Cadet &amp; Junior Mari dukung atlet-atlet muda Asia berjuang dengan semangat sportivitas dan persaudaraan. https://t.co/MHLCZZDKeC","1963224283959722065","https://pbs.twimg.com/ext_tw_video_thumb/1963224201051226112/pu/img/LlVyjancnTwOMVI_.jpg","","in","","0","107","9","https://x.com/undefined/status/1963224283959722065","4068016160",
"1963562723150627217","Thu Sep 04 11:20:09 +0000 2025","33","di deket rumah kalian ada acara maulidan gak? ","1963562723150627217","","","in","","18","182","1","https://x.com/undefined/status/1963562723150627217","1371650588",
"1966018832365138043","Thu Sep 11 05:59:51 +0000 2025","87","Sampai di titik pengen banget punya rumah sendiri. Bisa beli pakai daun nggak sih? ","1966018832365138043","","","in","","6","9","26","https://x.com/undefined/status/1966018832365138043","459240731",
"1962892045913075742","Tue Sep 02 14:55:07 +0000 2025","18"," alhamdulillah setelah 2th nganggur aku bisa kerja. tp karena aku ngumpulin uang tp ga kekumpul kumpul. akhirnya uangnya aku ksihkan ke ibu buat renov rumah. biarinlah aku ngumpulin dr awal. penting aku kerja udah ada hasil renov rumah","1962892045913075742","","","in","","0","5","0","https://x.com/undefined/status/1962892045913075742","1331650559518990336",
"1964984570748817882","Mon Sep 08 09:30:03 +0000 2025","958","Happy 13th Anniversary JKT48 Theater Semoga selalu menjadi tempat ternyaman dan menyenangkan untuk kita semua! Rumah untuk bertemu @A_ChristyJKT48 tentunya️ #JKT48Theater13thAnniv https://t.co/lUOKIfOg7Z","1964984570748817882","https://pbs.twimg.com/media/G0UHCjYW4AArMd5.jpg","","in","","0","2","212","https://x.com/undefined/status/1964984570748817882","2352960692",
"1964972292372640185","Mon Sep 08 08:41:16 +0000 2025","81","POV: You re an ice chewer Kalau you memang hantu ais macam i memang patut ada satu ice maker sendiri kat rumah! Tak payah dah beli ais luar yang entah air apa diorang guna https://t.co/EKLJZIOSaA","1964972292372640185","https://pbs.twimg.com/ext_tw_video_thumb/1964972257480192000/pu/img/DGQAMSEvcq16d4c2.jpg","","in","","0","2","77","https://x.com/undefined/status/1964972292372640185","938775099892686849",
"1965016075931697534","Mon Sep 08 11:35:15 +0000 2025","25"," guys ceritanya saya lagi bingung cari kasur yang nyaman buat isi rumah pasutri baru kira-kira ada rekomendasi ngga ya? Atau menurut kalian pr0dukk dibawah ini bagus juga ngga? Yang empuk dan awet gitu. Rekomendasi kalian sangat berharga Thanks. Cr: shooopeee https://t.co/Ej3U6Bm4wy","1965016075931697534","https://pbs.twimg.com/media/G0UjtMpXcAAII30.jpg","","in","","0","17","3","https://x.com/undefined/status/1965016075931697534","1371650588",
"1963986780153131136","Fri Sep 05 15:25:12 +0000 2025","376"," Kasih aku motivasi buat lanjutkan hidup ini guys Utang udah lunas rumah udah kebeli istri belum ada sih https://t.co/djU8jWRJZ7","1963986780153131136","https://pbs.twimg.com/media/G0F7kVCWYAAZRfm.jpg","","in","","11","51","8","https://x.com/undefined/status/1963986780153131136","1331650559518990336",
"1965608165267108178","Wed Sep 10 02:48:00 +0000 2025","106","doa agar cepat punya rumah. https://t.co/VFIp3wmrl8","1965608165267108178","https://pbs.twimg.com/media/G0c-NambIAA_bJ_.jpg","","in","","0","11","73","https://x.com/undefined/status/1965608165267108178","1898231071348867078",
"1963796750260461874","Fri Sep 05 02:50:05 +0000 2025","80","-rl how does it feel to be loved by someone yang sudah menganggapmu sebagai rumah bukan sebagai pelampiasan atau sekadar tempat singgah ?","1963796750260461874","","","in","","34","35","9","https://x.com/undefined/status/1963796750260461874","861948792911781888",
"1965670087085502509","Wed Sep 10 06:54:03 +0000 2025","247"," jujur sekarang nabung impiannya bukan lagi untuk rumah tapi untuk pergi dari negara ini dengan cara apapun. kalau negara ini dibilang sakit sakitnya udah fase terminal illness.","1965670087085502509","","","in","","1","21","38","https://x.com/undefined/status/1965670087085502509","1331650559518990336",
"1965681498683789780","Wed Sep 10 07:39:24 +0000 2025","51","Nyesel bgt beli somay 30 rb padahal tinggal nambah 2 3 m udh dapet rumah ","1965681498683789780","","","in","","0","3","8","https://x.com/undefined/status/1965681498683789780","1105328845345849344",
"1965550796092625057","Tue Sep 09 23:00:02 +0000 2025","123","Rabu Pagiii Tanpa disadari adek ini ngajarin kita kalau betapa indahnya temenan tanpa mandang perbedaan fisik. Jadi jangan bosan untuk berbuat baik dengan tulus ya. Yuk sedekah mudah klik: https://t.co/taHPB5HZcu https://t.co/g3FB1Fdmqx","1965550796092625057","https://pbs.twimg.com/amplify_video_thumb/1965347609092190208/img/fUt0oJYRBejhX6ve.jpg","","in","","2","1","15","https://x.com/undefined/status/1965550796092625057","109865696",
"1965998772816597485","Thu Sep 11 04:40:08 +0000 2025","12","cw // nganggur work! jarak tempuh 1 jam dari rumah itu jauh bgt ya?niat pake motor.. aku cewe &amp; mslh gaji beda dikit sama dom aku tinggal mending apply apa cari lain?","1965998772816597485","","","in","","0","11","1","https://x.com/undefined/status/1965998772816597485","1244597361826885636",
"1962744212673188103","Tue Sep 02 05:07:40 +0000 2025","265","Gaji vs Harga Rumah Dari tahun 2010 hingga 2023 gaji penengah pekerja di Malaysia hanya meningkat 64% dari RM1 498 sebulan kepada RM2 464 sebulan. Tetapi dalam tempoh yang sama harga rumah meningkat hampir 116% dari RM218 000 kepada RM471 000. https://t.co/nAL7Z0SGDX","1962744212673188103","https://pbs.twimg.com/media/Gz0RdbGXkAANtPQ.jpg","","in","","11","2","283","https://x.com/undefined/status/1962744212673188103","1213807317419880450",
"1963758490528432148","Fri Sep 05 00:18:03 +0000 2025","160","Siapa kata nak kurus kena pergi gym? ‍️ Duduk rumah pun boleh bakar kalori weh sambil layan Netflix https://t.co/cwuQX5ZovY","1963758490528432148","https://pbs.twimg.com/amplify_video_thumb/1963758412640186368/img/RCvTo2D1S8IucepG.jpg","","in","","0","2","150","https://x.com/undefined/status/1963758490528432148","1797835876938211328",
"1964871347911135707","Mon Sep 08 02:00:09 +0000 2025","162"," jujur selama nganggur mls nya ngobrol sama org tuh gini karna selalu di hakimin. Pdhl semuanya serba susah klo gak ada biayanya. Aku jga nganggur gak mls kok semua kerjaan rumah aku yg beresin. Msh rajin apply di jobstreet jga. https://t.co/QLEbmcevvD","1964871347911135707","https://pbs.twimg.com/media/G0SgE8yXIAArNod.jpg","","in","","2","10","7","https://x.com/undefined/status/1964871347911135707","1331650559518990336",
"1966021578497601948","Thu Sep 11 06:10:45 +0000 2025","76","PRELOVED BY ME [MAKEUP EDITION] Range harga starting from RM5-RM15 Reason nak jual : Dah banyak barang makeup dekat rumah. Dah tiba masa untuk letgo Item mostly ada lagi 80% Tak nak joy. Berminat DM terus￼ https://t.co/nqv2MJudML","1966021578497601948","https://pbs.twimg.com/media/G0i2L17aoAAXMd7.jpg","","in","","2","2","77","https://x.com/undefined/status/1966021578497601948","1830503955916587008",
